full_name_of_repo,commit_sha,path
flexera-public/policy_templates,3b36d07729f9b1be947e09e23e4fad59a2da9764,README.md
flexera-public/policy_templates,441be08d5b4993de75dd6b2217724d47eddd7a10,README.md
flexera-public/policy_templates,47b7628b9199d93b1cc8f9ca96f0e185bfa2223c,README.md
flexera-public/policy_templates,62ae9693b417b16a8d36bd3e77655dc3bdf08f34,README.md
flexera-public/policy_templates,7e4fac92ade0a2504c050bb0172acca043cffb76,CONTRIBUTING.md
flexera-public/policy_templates,9973f485fd095198e08404a258eb419834582be5,README.md
flexera-public/policy_templates,b05c4d0ad4547b0a3c99a7c099bf249a5c0e78e5,README.md
flexera-public/policy_templates,c86f2db76caaa734f60dbea04d7ed942ebc32ad9,README.md
flexera-public/policy_templates,d3f1aaad59c6841aa61863213d3211ae8817c7ab,README.md
flexera-public/policy_templates,e13742db077661ab358a8e4f0bed3dd015420682,README.md
flexera-public/policy_templates,eabd8ba479a8d29593e6ab89676676fd96118e70,README.md
foundersandcoders/error-handling-workshop,2dda3fae720633ef5716bc0d91af00f39fce3cfa,README.md
freshOS/Arrow,b2017dc99c3fcf03392847103b904316c4fb4c18,README.md
freshOS/Arrow,f5961fea6bac846a895920d7260b997e404d6ae0,README.md
fus-marcom/franciscan-react,fe2ae063ce10bca62fbc807f3927d5b854cbe5d3,README.md
futurice/android-best-practices,05b2c81c51caa45ba4cfc71e6f92f21b64a8727b,README.md
gctools-outilsgc/gcconnex,7682d367b213daa6901076f9d3e84e0a75c90db7,README.md
gctools-outilsgc/gcconnex,b8688c6c4f82c5eb3ec3f9744a0ba2e348cb45ba,README.txt
google-developer-training/pwa-training-labs,93297d49ae3b0b3ea39bcd9e11bdd2d82acca0bd,README.md
gorails/gorails,5c4adbf778849be6cfae5f63b8ce3599e9beafff,CONTRIBUTING.md
graphql-python/graphql-core,89b1a151b763e26460dbd636520d461ab4646c64,README.md
graphql-python/graphql-core,b85ae7ca3cdabd23b23297277b61fa7b88ebf296,README.md
graphql-python/graphql-core,c9188c5352fc2146df91817bea8290ee5faa8f3a,README.md
graphql-python/graphql-core,df0f8996d3d1f983b35fab892e239d0d225bfd05,README.md
graphql-python/graphql-core,e024793321742ff0fd0b7db9a0bbf966ba41f0ed,README.md
graphql-python/graphql-core,e18504ef2348b1cbbc53c82bf56f0deb5042cd39,README.md
gskbyte/GSKStretchyHeaderView,b6d1407169abad7bb7dffa852a8a1d59814579a2,README.md
guryanovev/CrystalQuartz,85c59ade75f67cefe5580f3514b46acf95f62bd4,readme.md
hakyimlab/MetaXcan,496b69c4e75c33ba7acab074476577421494d863,README.md
hakyimlab/MetaXcan,7510d31fe27a0e759e12850f281619ce415dd279,README.md
hakyimlab/MetaXcan,f5cf1965442feec2d91305dab047d11196a05611,README.md
hapi-swagger/hapi-swagger,63bf9c3960966c9d901bd26cc4f65fd685c46529,README.md
hapi-swagger/hapi-swagger,966efc10d00ad055bd38d13e5c5d73fc3edc9e1b,README.md
hapi-swagger/hapi-swagger,d53d673dbeffa864e447d3c4fde23334f1ee5dcb,README.md
hoodiehq/hoodie,04e68280f9b4eda4f05d092f6450bed4b7bc4dab,README.md
hoodiehq/hoodie,229350d7cd557d9b946b4b26ee154101ca64e0c3,README.md
hoodiehq/hoodie,ac6fdfc104aabda49926beaa40c448d262be4ebc,README.md
hoodiehq/hoodie,c825821beaa633833053ae8c2e622150bb310786,README.md
hoodiehq/hoodie,f6d240e906a72a16800ff79f93d1b129805f9845,README.md
http-kit/http-kit,0327850135b264fda2836fd261170546deed2be4,README.md
http-kit/http-kit,2a3f352da142e98d1441ba10c5cdf21fc45f3452,README.md
http-kit/http-kit,2a74dbf57213b080fd8c75d2659ff05d595ceb64,README.md
http-kit/http-kit,489bfaecdd0de1420ef1de641bd49e62587216aa,README.md
http-kit/http-kit,6b781ade2d889a4e77fa4175456eca3a257d69d2,README.md
http-kit/http-kit,711f7b1789d205d03f385b9e35e317c9e1f827c4,README.md
http-kit/http-kit,a962e9a39c9d59834a03a7d23c782c0571084ab7,README.md
http-kit/http-kit,d12b1667a62785c5bcc635462958a5f85f7db303,README.md
http-kit/http-kit,ea1e89d8f28129286d8a3509bf4ddc0d256e4534,README.md
i18next/i18next-gitbook,047a73e2401e0fac6f8cccc502b436c29aff26c1,README.md
i18next/i18next-gitbook,1566121d704e04ab1d9ef8b0fe1823e7e47b642c,README.md
i18next/i18next-gitbook,b064fd1686772f8f8797bf15b60e2474c8183323,README.md
ihaveamac/3dsconv,cd9d30cfa988e10a9db47317aa34797df515c88b,README.md
ihaveamac/3dsconv,eba19a7ab04f44f22b1380a7d1ad1acf568c2273,README.md
iobroker-community-adapters/ioBroker.telegram,0024568fc148e9c76ed0b47a1be08afd259a4f47,README.md
iobroker-community-adapters/ioBroker.telegram,28703b2f7b2fa671a39ec1283dde2fbbb384f4d1,README.md
iobroker-community-adapters/ioBroker.telegram,70152c1cd75ea473f2c3cf07568eac611991c2f6,README.md
iobroker-community-adapters/ioBroker.telegram,79547efff86e45472d489330760f3cd3fafe5223,README.md
iobroker-community-adapters/ioBroker.telegram,8d3fd8a7e1da77801ccd75631522d2ab49b03de0,README.md
iobroker-community-adapters/ioBroker.telegram,f38334b8563eb849404c6caa959df24f01ade009,README.md
jackc/pgx,1dc45f1fa03eb82ac9a110219361752bfe5474f3,README.md
jackc/pgx,9f9a9779ac794e885f6fbb04935724f03149f092,README.md
kaliop-uk/ezmigrationbundle,28206fc3a210f1941648972e3c1674fb7a2d803b,README.md
kaliop-uk/ezmigrationbundle,ba8e0ef84001417d0b7651cf06549c37d2d93561,README.md
keymetrics/pmx,f805133515775416f96aaf548e41eec4eb61fcb6,README.md
kiegroup/jbpm,22eea458b58f559456457af228e757acf133833f,README.md
kotct/dot,c8128033f54c9b8498b82c9ca3dcac156427b53f,README.md
ktorio/ktor,80ed420b131644a18ce93dd2f9600ecaa70f14a8,CONTRIBUTING.md
ktorio/ktor,99e490246faaf1a85d85c4c28e5fc278e34c7d0e,README.md
kube-reporting/metering-operator,c0238ab294ed4f6e7bfed2645550244c6c026597,README.md
lanl-ansi/Alpine.jl,0dc4da2c92dcf3d39477ea8ccec2fedf882c19df,README.md
lanl-ansi/Alpine.jl,3841187b45c65af1ffe0e16c7d9cac29b97afd9d,README.md
lanl-ansi/Alpine.jl,5f5a06d9d5f9eb54a6c603dcaf4effed33143fc0,README.md
lanl-ansi/Alpine.jl,6c032be5ceca0ea08c23313203a6c2432ea243e1,README.md
